pattern,n,run,cycles_per_step
random,524288,0,1074.741628
offset16,524288,0,1217.972868
offset64,524288,0,588.668774
sig8,524288,0,7.531232
sig16,524288,0,47.555924
random,524288,1,1095.352818
offset16,524288,1,1247.482724
offset64,524288,1,598.436626
sig8,524288,1,39.555174
sig16,524288,1,47.581806
random,524288,2,1057.374294
offset16,524288,2,1229.391114
offset64,524288,2,595.733646
sig8,524288,2,39.524162
sig16,524288,2,7.566098
random,524288,3,1058.512758
offset16,524288,3,1215.609674
offset64,524288,3,639.546590
sig8,524288,3,47.593262
sig16,524288,3,7.522754
random,524288,4,1076.026260
offset16,524288,4,1222.785390
offset64,524288,4,591.964578
sig8,524288,4,39.512316
sig16,524288,4,7.524050
random,524288,5,1063.221726
offset16,524288,5,1257.646230
offset64,524288,5,637.336178
sig8,524288,5,7.521664
sig16,524288,5,7.552156
random,524288,6,1030.019306
offset16,524288,6,1228.112560
offset64,524288,6,586.998978
sig8,524288,6,47.542342
sig16,524288,6,47.574700
random,524288,7,1105.813892
offset16,524288,7,1215.890258
offset64,524288,7,586.130712
sig8,524288,7,7.536920
sig16,524288,7,47.605532
random,524288,8,1063.041906
offset16,524288,8,1246.175862
offset64,524288,8,631.165812
sig8,524288,8,7.489792
sig16,524288,8,7.562770
random,524288,9,1070.220560
offset16,524288,9,1225.785280
offset64,524288,9,589.987168
sig8,524288,9,7.504722
sig16,524288,9,63.579764
