array_size_kb,stride_bytes,avg_cycles_per_access
4,8,1.981
4,16,61.993
4,32,1.977
4,64,1.978
4,128,1.978
4,256,62.152
4,512,1.982
4,1024,2.890
8,8,49.995
8,16,1.980
8,32,1.979
8,64,69.991
8,128,1.977
8,256,1.976
8,512,1.984
8,1024,62.303
16,8,1.977
16,16,1.977
16,32,50.109
16,64,1.985
16,128,1.978
16,256,1.977
16,512,61.989
16,1024,1.989
32,8,1.978
32,16,62.002
32,32,1.977
32,64,1.980
32,128,1.977
32,256,57.994
32,512,1.979
32,1024,1.978
64,8,62.309
64,16,2.312
64,32,2.798
64,64,65.693
64,128,55.482
64,256,86.095
64,512,56.655
64,1024,53.560
128,8,2.262
128,16,2.311
128,32,82.840
128,64,53.701
128,128,55.526
128,256,79.834
128,512,57.829
128,1024,141.777
256,8,2.258
256,16,2.311
256,32,50.853
256,64,5.674
256,128,55.552
256,256,87.846
256,512,57.837
256,1024,88.017
512,8,50.590
512,16,2.323
512,32,2.790
512,64,61.737
512,128,79.547
512,256,55.859
512,512,57.840
512,1024,72.004
1024,8,2.416
1024,16,50.702
1024,32,2.788
1024,64,65.800
1024,128,67.615
1024,256,63.887
1024,512,69.867
1024,1024,120.055
2048,8,3.237
2048,16,94.599
2048,32,2.823
2048,64,53.873
2048,128,55.715
2048,256,79.982
2048,512,66.196
2048,1024,132.141
4096,8,53.346
4096,16,4.194
4096,32,53.127
4096,64,89.331
4096,128,185.942
4096,256,122.652
4096,512,183.393
4096,1024,200.114
8192,8,77.563
8192,16,5.219
8192,32,61.392
8192,64,57.481
8192,128,114.245
8192,256,146.750
8192,512,146.539
8192,1024,200.106
16384,8,52.241
16384,16,86.295
16384,32,55.042
16384,64,57.907
16384,128,194.519
16384,256,139.166
16384,512,196.178
16384,1024,194.218
32768,8,61.097
32768,16,77.782
32768,32,56.052
32768,64,58.995
32768,128,195.209
32768,256,139.569
32768,512,176.688
32768,1024,200.780
65536,8,65.606
65536,16,54.135
65536,32,76.060
65536,64,84.036
65536,128,142.002
65536,256,191.646
65536,512,196.746
65536,1024,254.250
131072,8,77.852
131072,16,54.499
131072,32,63.958
131072,64,84.067
131072,128,142.967
131072,256,200.499
131072,512,201.016
131072,1024,255.261
