Num_Branches,Average_Cycles,Min_Cycles,Max_Cycles
64,5.55,5.38,413.61
128,5.42,5.34,135.22
192,5.38,5.33,64.52
256,6.38,5.92,201.89
320,8.22,7.75,74.19
384,9.72,9.21,103.80
448,11.00,10.56,51.30
512,12.17,11.73,46.57
576,13.45,12.94,62.19
640,14.32,13.86,40.54
704,15.17,14.59,34.90
768,15.90,15.27,68.21
832,16.58,15.98,35.19
896,17.35,16.73,43.23
960,17.89,17.29,50.42
1024,18.25,17.67,61.46
1088,18.70,18.04,46.55
1152,19.19,18.59,79.17
1216,19.56,19.00,39.28
1280,19.94,19.36,37.54
1344,20.32,19.78,46.15
1408,20.70,20.14,43.75
1472,20.95,20.37,44.59
1536,21.11,20.58,38.28
1600,21.33,20.84,42.10
1664,21.49,20.91,37.28
1728,21.65,21.15,41.85
1792,21.83,21.35,35.64
1856,21.93,21.50,40.29
1920,22.10,21.64,1386.44
1984,22.20,21.76,81.75
2048,22.27,21.82,71.53
