filler_count,avg_cycles,min_cycles,max_cycles
0,57.68,52.48,78.26
4,52.48,52.43,52.55
8,52.49,52.41,52.65
12,52.46,52.45,52.50
16,52.48,52.45,52.52
20,52.49,52.42,52.56
24,52.48,52.45,52.56
28,52.51,52.47,52.58
32,52.47,52.45,52.52
36,52.47,52.40,52.55
40,52.47,52.36,52.56
44,52.48,52.43,52.58
48,52.50,52.45,52.56
52,52.50,52.45,52.62
56,52.49,52.45,52.53
60,52.49,52.43,52.57
64,52.47,52.43,52.52
68,52.46,52.45,52.47
72,52.60,52.43,52.84
76,52.50,52.45,52.55
80,52.57,52.53,52.62
84,52.96,52.86,53.11
88,54.64,54.45,55.05
92,57.34,57.18,57.48
96,60.91,60.83,61.03
100,64.94,64.85,65.07
104,69.03,68.88,69.10
108,73.13,72.91,73.55
112,77.02,76.93,77.12
116,80.89,80.74,80.97
120,84.79,84.52,85.33
124,88.85,88.76,89.00
128,92.71,92.54,92.90
132,96.78,96.50,97.08
136,100.77,100.68,100.85
140,104.77,104.65,104.97
144,108.75,108.59,108.87
148,112.76,112.62,112.99
152,116.73,116.66,116.79
156,120.74,120.61,120.88
160,124.71,124.60,124.96
164,128.72,128.63,128.89
168,133.53,132.38,137.21
172,136.64,136.53,136.75
176,140.67,140.57,140.84
180,144.64,144.52,144.78
184,148.74,148.55,148.88
188,152.79,152.62,152.91
192,156.76,156.62,156.82
196,160.76,160.64,160.89
200,164.77,164.64,164.86
204,168.96,168.90,169.01
208,172.94,172.84,172.97
212,177.02,176.84,177.22
216,181.01,180.95,181.05
220,184.88,184.80,184.94
224,188.98,188.79,189.08
228,192.98,192.77,193.20
232,197.25,197.03,197.50
236,200.95,200.92,201.00
240,205.04,204.94,205.24
244,209.11,208.96,209.33
248,213.14,213.00,213.29
252,217.07,217.02,217.10
256,221.04,220.95,221.22
260,225.16,225.09,225.25
264,229.15,229.07,229.29
268,239.98,233.19,266.91
272,237.16,237.02,237.32
276,241.26,241.17,241.36
280,245.21,245.08,245.54
284,250.12,249.20,253.41
288,253.25,253.12,253.42
292,257.22,257.06,257.36
296,261.22,261.14,261.25
300,265.31,265.25,265.36
304,269.52,269.28,270.09
308,273.37,273.10,273.56
312,277.22,277.14,277.30
316,281.29,281.26,281.33
320,285.29,285.24,285.39
324,289.30,289.21,289.34
328,293.43,293.25,293.62
332,297.53,297.45,297.63
336,301.53,301.46,301.58
340,305.50,305.34,305.61
344,309.54,309.44,309.78
348,313.60,313.42,313.69
352,317.55,317.28,317.70
356,321.61,321.51,321.78
360,325.78,325.49,326.66
364,330.05,329.65,331.36
368,333.70,333.47,334.06
372,337.78,337.63,337.94
376,341.48,341.41,341.57
380,345.66,345.45,345.90
384,349.74,349.46,350.38
388,353.83,353.55,354.16
392,357.85,357.62,358.25
396,361.86,361.68,362.09
400,365.82,365.64,366.24
404,369.92,369.72,370.06
408,374.14,373.79,374.59
412,378.04,377.84,378.37
416,381.90,381.71,382.10
420,385.96,385.90,386.00
424,390.00,389.77,390.55
428,393.93,393.79,394.24
432,398.04,397.80,398.30
436,401.88,401.76,402.15
440,406.11,405.79,406.50
444,409.88,409.74,410.28
448,414.12,413.85,414.40
452,418.52,417.86,419.32
456,421.99,421.82,422.12
460,426.04,425.89,426.35
464,430.11,429.85,430.39
468,434.04,433.82,434.45
472,438.10,437.88,438.31
476,442.02,441.88,442.34
480,446.19,445.97,446.69
484,450.26,450.10,450.60
488,454.53,454.04,455.12
492,458.04,457.71,458.35
496,462.23,461.84,462.73
500,466.21,466.06,466.46
504,470.18,469.87,470.48
508,474.28,474.09,474.46
512,478.23,477.93,478.46
516,482.29,482.08,482.60
520,486.40,486.19,486.60
524,490.51,490.19,490.99
528,494.38,494.13,494.80
532,498.43,498.27,498.54
536,502.37,502.13,502.70
540,506.41,506.13,506.58
544,510.25,510.07,510.47
548,514.26,514.02,514.42
552,518.48,518.11,519.00
556,522.71,522.29,523.17
560,526.43,526.16,526.74
564,530.49,530.21,530.96
568,534.32,534.12,534.62
572,538.43,538.28,538.57
576,542.42,542.21,542.60
580,546.42,546.22,546.67
584,550.54,550.33,550.82
588,554.97,554.38,555.38
592,558.59,558.36,558.75
596,562.58,562.23,563.07
600,566.45,566.29,566.71
